len	tc	intersection	union	enrichment
350	0.65	1410259	16370615	0.08614
350	0.7	1448467	17160224	0.0844
350	0.75	1499149	18343100	0.08172
350	0.8	1587571	20138776	0.07883
350	0.85	1719812	23173709	0.07421
350	0.9	1937644	28995224	0.06682
350	0.95	2352529	39236146	0.05995
350	1	0	2597477	0
400	0	0	2597477	0
400	0.05	355654	4750038	0.07487
400	0.1	371649	4928097	0.07541
400	0.15	380447	5088184	0.07477
400	0.2	392196	5234248	0.07492
400	0.25	398898	5372076	0.07425
400	0.3	410429	5496443	0.07467
400	0.35	422495	5665515	0.07457
400	0.4	432801	5826287	0.07428
400	0.45	444373	6038219	0.07359
400	0.5	454871	6254235	0.07273
400	0.55	1370647	15075799	0.09091
400	0.6	1386687	15546854	0.08919
400	0.65	1401470	16124294	0.08691
400	0.7	1428707	16822490	0.08492
400	0.75	1479457	17800882	0.08311
400	0.8	1558937	19390564	0.08039
400	0.85	1675845	22038933	0.07604
400	0.9	1875803	27314068	0.06867
400	0.95	2291969	37848550	0.06055
400	1	0	2597477	0
450	0	0	2597477	0
450	0.05	356509	4769378	0.07474
450	0.1	371481	4954287	0.07498
450	0.15	383200	5104670	0.07506
450	0.2	391455	5252167	0.07453
450	0.25	401765	5369903	0.07481
450	0.3	410665	5491621	0.07478
450	0.35	419907	5645177	0.07438
450	0.4	429806	5791388	0.07421
450	0.45	439933	5987455	0.07347
450	0.5	450680	6185329	0.07286
450	0.55	1363599	14989170	0.09097
450	0.6	1383204	15405685	0.08978
450	0.65	1394071	15875448	0.08781
450	0.7	1414033	16523270	0.08557
450	0.75	1457969	17385138	0.08386
450	0.8	1527458	18815433	0.08118
450	0.85	1631380	21183137	0.07701
450	0.9	1828898	25904977	0.0706
450	0.95	2231024	36481451	0.06115
450	1	0	2597477	0
500	0	0	2597477	0
500	0.05	358862	4792921	0.07487
500	0.1	373079	4964614	0.07514
500	0.15	382224	5111565	0.07477
500	0.2	394019	5249767	0.07505
500	0.25	401921	5373533	0.07479
500	0.3	409666	5491321	0.0746
500	0.35	419646	5614813	0.07473
500	0.4	429469	5769046	0.07444
500	0.45	436266	5927151	0.0736
500	0.5	447785	6130702	0.07303
500	0.55	1358041	14898591	0.09115
500	0.6	1376411	15280087	0.09007
500	0.65	1391961	15706870	0.08862
500	0.7	1404879	16301755	0.08617
500	0.75	1440960	17058357	0.08447
500	0.8	1504788	18326327	0.08211
500	0.85	1599846	20436907	0.07828
500	0.9	1787252	24735158	0.07225
500	0.95	2176194	35138000	0.06193
500	1	0	2597477	0
550	0	0	2597477	0
550	0.05	359379	4809641	0.07472
550	0.1	372457	4974665	0.07487
550	0.15	383063	5105102	0.07503
550	0.2	393581	5234026	0.07519
550	0.25	402095	5372839	0.07483
550	0.3	408008	5482249	0.07442
550	0.35	420589	5592130	0.07521
550	0.4	427321	5734012	0.07452
550	0.45	433399	5887625	0.07361
550	0.5	445381	6074073	0.07332
550	0.55	1356119	14821077	0.09149
550	0.6	1371207	15155517	0.09047
550	0.65	1388097	15576112	0.08911
550	0.7	1398659	16100039	0.08687
550	0.75	1428042	16802265	0.08499
550	0.8	1484483	17914007	0.08286
550	0.85	1578379	19837583	0.07956
550	0.9	1742807	23753374	0.07337
550	0.95	2128070	33871016	0.06282
550	1	0	2597477	0
600	0	0	2597477	0
600	0.05	360490	4816930	0.07483
600	0.1	376294	4984302	0.07549
600	0.15	383262	5108036	0.07503
600	0.2	392949	5240996	0.07497
600	0.25	403862	5378688	0.07508
600	0.3	406916	5464872	0.07446
600	0.35	417381	5574903	0.07486
600	0.4	425163	5702378	0.07455
600	0.45	432788	5846718	0.07402
600	0.5	440888	6020596	0.07322
600	0.55	1351351	14748227	0.09162
600	0.6	1363918	15070422	0.0905
600	0.65	1385015	15469018	0.08953
600	0.7	1395970	15943771	0.08755
600	0.75	1417262	16613358	0.0853
600	0.8	1467960	17566708	0.08356
600	0.85	1558145	19359264	0.08048
600	0.9	1708986	22928841	0.07453
600	0.95	2079186	32642043	0.06369
600	1	0	2597477	0
650	0	0	2597477	0
650	0.05	362760	4827552	0.07514
650	0.1	377713	4992615	0.07565
650	0.15	382690	5112633	0.07485
650	0.2	393608	5251302	0.07495
650	0.25	401878	5366259	0.07488
650	0.3	407287	5460640	0.07458
650	0.35	416315	5562818	0.07483
650	0.4	423287	5677811	0.07455
650	0.45	430096	5808880	0.07404
650	0.5	437634	5973246	0.07326
650	0.55	1349535	14689669	0.09186
650	0.6	1360242	15012037	0.09061
650	0.65	1380154	15363560	0.08983
650	0.7	1394273	15781936	0.08834
650	0.75	1409691	16400589	0.08595
650	0.8	1454242	17301317	0.08405
650	0.85	1535134	18945673	0.08102
650	0.9	1681381	22247481	0.07557
650	0.95	2033199	31525133	0.06449
650	1	0	2597477	0
700	0	0	2597477	0
700	0.05	362992	4833681	0.07509
700	0.1	378944	4987689	0.07597
700	0.15	383578	5116902	0.07496
700	0.2	392828	5238211	0.07499
700	0.25	399110	5347509	0.07463
700	0.3	407831	5448084	0.07485
700	0.35	412951	5545718	0.07446
700	0.4	421224	5657730	0.07445
700	0.45	428496	5787039	0.07404
700	0.5	436654	5926371	0.07367
700	0.55	1346030	14646972	0.09189
700	0.6	1354591	14913924	0.09082
700	0.65	1374395	15259249	0.09006
700	0.7	1392194	15651805	0.08894
700	0.75	1405571	16236270	0.08656
700	0.8	1443509	17048496	0.08467
700	0.85	1516982	18612055	0.0815
700	0.9	1657682	21626353	0.07665
700	0.95	1991928	30455730	0.0654
700	1	0	2597477	0
750	0	0	2597477	0
750	0.05	363686	4828572	0.07531
750	0.1	379793	4993457	0.07605
750	0.15	385378	5126099	0.07517
750	0.2	390389	5234059	0.07458
750	0.25	398184	5333955	0.07465
750	0.3	406698	5436412	0.07481
750	0.35	411792	5529754	0.07446
750	0.4	419906	5630137	0.07458
750	0.45	427149	5757092	0.07419
750	0.5	434991	5884492	0.07392
750	0.55	1343192	14601817	0.09198
750	0.6	1353826	14845731	0.09119
750	0.65	1366971	15160491	0.09016
750	0.7	1386485	15549786	0.08916
750	0.75	1401789	16094061	0.08709
750	0.8	1434011	16852465	0.08509
750	0.85	1504605	18264485	0.08237
750	0.9	1632965	21123802	0.0773
750	0.95	1950521	29502298	0.06611
750	1	0	2597477	0
800	0	0	2597477	0
800	0.05	365212	4831965	0.07558
800	0.1	381513	5013827	0.07609
800	0.15	384639	5114712	0.0752
800	0.2	390626	5229316	0.07469
800	0.25	398343	5327868	0.07476
800	0.3	405556	5422504	0.07479
800	0.35	410266	5517605	0.07435
800	0.4	417938	5610136	0.07449
800	0.45	425294	5727519	0.07425
800	0.5	431565	5845393	0.07382
800	0.55	1340131	14560266	0.09204
800	0.6	1350502	14745584	0.09158
800	0.65	1362037	15079193	0.09032
800	0.7	1383092	15464401	0.08943
800	0.75	1398612	15954475	0.08766
800	0.8	1421705	16693861	0.08516
800	0.85	1491221	17960036	0.08302
800	0.9	1614702	20657010	0.07816
800	0.95	1921500	28666790	0.06702
800	1	0	2597477	0
850	0	0	2597477	0
850	0.05	366849	4851792	0.07561
850	0.1	380405	5005111	0.076
850	0.15	383942	5109595	0.07514
850	0.2	389057	5220369	0.07452
850	0.25	397573	5315408	0.07479
850	0.3	404205	5403856	0.07479
850	0.35	410266	5507083	0.07449
850	0.4	416715	5601250	0.07439
850	0.45	423747	5698509	0.07436
850	0.5	429256	5823163	0.07371
850	0.55	1338616	14510881	0.09224
850	0.6	1347311	14696543	0.09167
850	0.65	1357504	15008868	0.09044
850	0.7	1379305	15380826	0.08967
850	0.75	1396559	15844666	0.08814
850	0.8	1414034	16541730	0.08548
850	0.85	1472388	17711524	0.08313
850	0.9	1595191	20237505	0.07882
850	0.95	1892371	27863153	0.06791
850	1	0	2597477	0
900	0	0	2597477	0
900	0.05	368034	4851001	0.07586
900	0.1	378320	4998203	0.07569
900	0.15	384053	5101293	0.07528
900	0.2	390779	5213051	0.07496
900	0.25	396236	5297196	0.0748
900	0.3	403875	5395453	0.07485
900	0.35	407765	5486058	0.07432
900	0.4	416240	5585917	0.07451
900	0.45	422331	5680608	0.07434
900	0.5	428222	5799703	0.07383
900	0.55	1336209	14421271	0.09265
900	0.6	1343951	14655381	0.0917
900	0.65	1354845	14942609	0.09066
900	0.7	1374441	15299303	0.08983
900	0.75	1394240	15744662	0.08855
900	0.8	1410882	16415218	0.08594
900	0.85	1464395	17501439	0.08367
900	0.9	1579226	19874386	0.07946
900	0.95	1867569	27076305	0.06897
900	1	0	2597477	0
950	0	0	2597477	0
950	0.05	367398	4846292	0.07581
950	0.1	377702	4991677	0.07566
950	0.15	383938	5102019	0.07525
950	0.2	389630	5203308	0.07488
950	0.25	395861	5289923	0.07483
950	0.3	401792	5384958	0.07461
950	0.35	406559	5470023	0.07432
950	0.4	411636	5567847	0.07393
950	0.45	420069	5656377	0.07426
950	0.5	426559	5770012	0.07392
950	0.55	1334891	14386347	0.09278
950	0.6	1341011	14616928	0.09174
950	0.65	1353044	14887585	0.09088
950	0.7	1368007	15224412	0.08985
950	0.75	1391515	15639843	0.08897
950	0.8	1407929	16284928	0.08645
950	0.85	1455095	17303924	0.08409
950	0.9	1565950	19543406	0.08012
950	0.95	1845164	26440551	0.06978
950	1	0	2597477	0
1000	0	0	2597477	0
1000	0.05	368789	4841830	0.07616
1000	0.1	376605	4985390	0.07554
1000	0.15	385390	5100178	0.07556
1000	0.2	389365	5194675	0.07495
1000	0.25	395447	5283612	0.07484
1000	0.3	401063	5369133	0.07469
1000	0.35	405598	5448485	0.07444
1000	0.4	411392	5558007	0.07401
1000	0.45	419113	5644179	0.07425
1000	0.5	424628	5740103	0.07397
1000	0.55	1331885	14362431	0.09273
1000	0.6	1339891	14579285	0.0919
1000	0.65	1349688	14844365	0.09092
1000	0.7	1361457	15165099	0.08977
1000	0.75	1388558	15557891	0.08925
1000	0.8	1406277	16176791	0.08693
1000	0.85	1448024	17125610	0.08455
1000	0.9	1551163	19278609	0.08046
1000	0.95	1820689	25815732	0.07052
1000	1	0	2597477	0
1050	0	0	2597477	0
1050	0.05	367916	4838368	0.07604
1050	0.1	377916	4981655	0.07586
1050	0.15	385652	5098198	0.07564
1050	0.2	389596	5182900	0.07516
1050	0.25	393406	5280577	0.0745
1050	0.3	400350	5353815	0.07477
1050	0.35	405549	5433351	0.07464
1050	0.4	409455	5541144	0.07389
1050	0.45	418671	5636946	0.07427
1050	0.5	422893	5719146	0.07394
1050	0.55	1330063	14334857	0.09278
1050	0.6	1338418	14526578	0.09213
1050	0.65	1345598	14805953	0.09088
1050	0.7	1360036	15095459	0.09009
1050	0.75	1384130	15491647	0.08934
1050	0.8	1403952	16071604	0.08735
1050	0.85	1442153	16964492	0.08501
1050	0.9	1538740	19010409	0.08094
1050	0.95	1797318	25231366	0.07123
1050	1	0	2597477	0
1100	0	0	2597477	0
1100	0.05	368775	4837669	0.07622
1100	0.1	378124	4980901	0.07591
1100	0.15	385034	5096440	0.07554
1100	0.2	388597	5176619	0.07506
1100	0.25	392920	5272499	0.07452
1100	0.3	398640	5339577	0.07465
1100	0.35	405127	5424419	0.07468
1100	0.4	409016	5515046	0.07416
1100	0.45	417607	5619818	0.0743
1100	0.5	422001	5702182	0.074
1100	0.55	1328526	14305839	0.09286
1100	0.6	1336074	14491501	0.09219
1100	0.65	1343117	14753472	0.09103
1100	0.7	1357541	15036044	0.09028
1100	0.75	1376496	15425732	0.08923
1100	0.8	1401608	15956019	0.08784
1100	0.85	1430749	16820616	0.08505
1100	0.9	1528768	18778423	0.08141
1100	0.95	1778703	24713998	0.07197
1100	1	0	2597477	0
1150	0	0	2597477	0
1150	0.05	369663	4832640	0.07649
1150	0.1	378271	4979861	0.07596
1150	0.15	384958	5091390	0.0756
1150	0.2	389021	5174968	0.07517
1150	0.25	392872	5264929	0.07462
1150	0.3	397969	5332458	0.07463
1150	0.35	405051	5415171	0.07479
1150	0.4	408414	5500667	0.07424
1150	0.45	416970	5603155	0.07441
1150	0.5	421032	5685036	0.07405
1150	0.55	1327239	14285477	0.0929
1150	0.6	1334296	14461749	0.09226
1150	0.65	1342027	14700767	0.09128
1150	0.7	1355768	14979044	0.09051
1150	0.75	1374836	15353617	0.08954
1150	0.8	1398528	15869179	0.08812
1150	0.85	1425692	16713851	0.0853
1150	0.9	1519369	18546887	0.08192
1150	0.95	1763821	24223821	0.07281
1150	1	0	2597477	0
1200	0	0	2597477	0
1200	0.05	370062	4831400	0.07659
1200	0.1	379230	4975184	0.07622
1200	0.15	386468	5080404	0.07607
1200	0.2	388686	5169270	0.07519
1200	0.25	392208	5249283	0.07471
1200	0.3	396876	5324278	0.07454
1200	0.35	401595	5397790	0.07439
1200	0.4	408089	5481581	0.07444
1200	0.45	415048	5579145	0.07439
1200	0.5	419933	5673779	0.07401
1200	0.55	1325785	14259217	0.09297
1200	0.6	1332897	14433923	0.09234
1200	0.65	1340696	14657138	0.09147
1200	0.7	1353591	14916618	0.09074
1200	0.75	1369425	15294611	0.08953
1200	0.8	1396812	15796039	0.08842
1200	0.85	1422467	16591846	0.08573
1200	0.9	1508230	18350904	0.08218
1200	0.95	1740163	23764487	0.07322
1200	1	0	2597477	0
1250	0	0	2597477	0
1250	0.05	370918	4832106	0.07676
1250	0.1	380070	4971187	0.07645
1250	0.15	385663	5077986	0.07594
1250	0.2	388736	5158456	0.07535
1250	0.25	391097	5236106	0.07469
1250	0.3	395271	5312969	0.07439
1250	0.35	399944	5383644	0.07428
1250	0.4	407751	5466829	0.07458
1250	0.45	412895	5569028	0.07414
1250	0.5	419852	5659616	0.07418
1250	0.55	1323921	14233248	0.09301
1250	0.6	1330034	14410054	0.09229
1250	0.65	1339464	14625861	0.09158
1250	0.7	1347661	14861896	0.09067
1250	0.75	1364881	15242497	0.08954
1250	0.8	1393971	15706359	0.08875
1250	0.85	1418906	16481193	0.08609
1250	0.9	1497429	18142996	0.08253
1250	0.95	1725930	23337119	0.07395
1250	1	0	2597477	0
1300	0	0	2597477	0
1300	0.05	370715	4829506	0.07676
1300	0.1	378355	4960147	0.07627
1300	0.15	384360	5073823	0.07575
1300	0.2	389003	5152733	0.07549
1300	0.25	390100	5227327	0.07462
1300	0.3	393357	5299388	0.07422
1300	0.35	398804	5365637	0.07432
1300	0.4	407511	5454522	0.07471
1300	0.45	411266	5548129	0.07412
1300	0.5	418633	5651271	0.07407
1300	0.55	1322512	14160953	0.09339
1300	0.6	1329076	14381495	0.09241
1300	0.65	1338799	14547683	0.09202
1300	0.7	1346038	14828973	0.09077
1300	0.75	1362262	15174336	0.08977
1300	0.8	1392105	15650105	0.08895
1300	0.85	1415417	16397262	0.08632
1300	0.9	1488142	17949924	0.0829
1300	0.95	1706291	22976088	0.07426
1300	1	0	2597477	0
1350	0	0	2597477	0
1350	0.05	371555	4822271	0.07704
1350	0.1	376852	4963740	0.07592
1350	0.15	383870	5065548	0.07578
1350	0.2	388387	5144372	0.07549
1350	0.25	389963	5217322	0.07474
1350	0.3	393179	5291226	0.0743
1350	0.35	398385	5352115	0.07443
1350	0.4	406705	5442717	0.07472
1350	0.45	410931	5531173	0.07429
1350	0.5	418756	5637790	0.07427
1350	0.55	1322523	14146946	0.09348
1350	0.6	1327706	14364903	0.09242
1350	0.65	1336559	14519891	0.09205
1350	0.7	1343775	14799193	0.0908
1350	0.75	1360380	15126093	0.08993
1350	0.8	1386098	15584075	0.08894
1350	0.85	1413423	16316299	0.08662
1350	0.9	1477551	17783413	0.08308
1350	0.95	1694289	22626386	0.07488
1350	1	0	2597477	0
